Agency_ID,Agency_Name
,Unreported Data
806,Department of Health and Human Services
539,Social Security Administration
456,Department of the Treasury
1173,Department of Defense
561,Department of Veterans Affairs
503,Office of Personnel Management
95,Department of Agriculture
882,Department of Housing and Urban Development
267,Department of Labor
766,Department of Homeland Security
731,Department of Transportation
1068,Department of Education
930,Department of Energy
252,Department of Justice
315,Department of State
614,General Services Administration
538,Federal Communications Commission
862,National Aeronautics and Space Administration
209,Department of the Interior
693,Railroad Retirement Board
183,Department of Commerce
1412,Corps of Engineers - Civil Works
308,Pension Benefit Guaranty Corporation
801,Agency for International Development
700,Environmental Protection Agency
655,National Science Foundation
680,Securities and Exchange Commission
48,Executive Office of the President
803,Small Business Administration
1516,Patient-Centered Outcomes Research Trust Fund
554,Nuclear Regulatory Commission
89,Peace Corps
1163,U.S. Agency for Global Media
1158,Consumer Financial Protection Bureau
1166,Corporation for National and Community Service
925,National Archives and Records Administration
11,Government Accountability Office
28,The Judicial Branch
611,Equal Employment Opportunity Commission
1523,District of Columbia Courts
552,Federal Trade Commission
697,National Labor Relations Board
1129,Commodity Futures Trading Commission
878,Export-Import Bank of the United States
1528,Court Services and Offender Supervision Agency
1474,Institute of Museum and Library Services
1416,Appalachian Regional Commission
879,Armed Forces Retirement Home
694,Consumer Product Safety Commission
1130,National Transportation Safety Board
687,National Endowment for the Arts
560,International Trade Commission
1128,Federal Election Commission
1147,Gulf Coast Ecosystem Restoration Council
805,American Battle Monuments Commission
1517,Corporation for Travel Promotion
610,Merit Systems Protection Board
1527,African Development Foundation
1526,Inter-American Foundation
90,United States Trade and Development Agency
1169,United States Court of Appeals for Veterans Claims
1484,Surface Transportation Board
1137,Defense Nuclear Facilities Safety Board
699,Federal Maritime Commission
695,Office of Special Counsel
685,Federal Labor Relations Authority
1067,Selective Service System
1127,Federal Mine Safety and Health Review Commission
1157,Office of Government Ethics
1148,Institute of American Indian and Alaska Native Culture and Arts Development
1132,Council of the Inspectors General on Integrity and Efficiency
1142,National Mediation Board
1135,Occupational Safety and Health Review Commission
1162,United States Chemical Safety Board
860,Farm Credit System Insurance Corporation
1165,Denali Commission
1138,Commission on Civil Rights
1144,Advisory Council on Historic Preservation
1146,Access Board
1141,Election Assistance Commission
1139,Committee for Purchase from People Who Are Blind or Severely Disabled
1125,Federal Mediation and Conciliation Service
1156,Delta Regional Authority
1134,Marine Mammal Commission
1149,Commission of Fine Arts
15,Legislative Branch Boards and Commissions
535,National Credit Union Administration
1428,Congressional-Executive Commission on People's Republic of China
1159,Barry Goldwater Scholarship and Excellence In Education Foundation
1431,Northern Border Regional Commission
1504,United States Enrichment Corporation Fund
1154,Millennium Challenge Corporation
682,Federal Deposit Insurance Corporation
1475,National Endowment for the Humanities
558,John F. Kennedy Center for the Performing Arts
1155,Morris K. Udall and Stewart L. Udall Foundation
1136,Administrative Conference of the U.S.
1417,National Council on Disability
651,U.S. Interagency Council on Homelessness
1426,Commission for the Preservation of America's Heritage Abroad
1143,Privacy and Civil Liberties Oversight Board
1131,Harry S Truman Scholarship Foundation
1152,James Madison Memorial Fellowship Foundation
